Absolute_Position,Normalized_Position,Utterance_Length,Utterance_Length_Unique,Utterance_Length_Stemmed_Unique,Is_Starter
1,0.16666666666666666,42,27,27,True
2,0.3333333333333333,10,10,10,False
3,0.5,14,13,13,True
4,0.6666666666666666,123,84,77,False
5,0.8333333333333334,24,21,21,False
6,1.0,46,37,36,False
1,0.25,48,33,31,True
2,0.5,46,39,38,False
3,0.75,11,10,10,True
4,1.0,51,39,38,False
1,0.16666666666666666,56,39,39,True
2,0.3333333333333333,69,46,46,False
3,0.5,45,33,32,True
4,0.6666666666666666,35,30,30,False
5,0.8333333333333334,56,43,41,True
6,1.0,64,49,49,True
1,0.3333333333333333,32,26,24,True
2,0.6666666666666666,115,74,69,False
3,1.0,27,24,23,False
1,0.3333333333333333,52,37,36,True
2,0.6666666666666666,34,29,28,True
3,1.0,23,19,19,False
1,0.25,43,31,31,True
2,0.5,61,48,46,False
3,0.75,32,27,27,False
5,1.25,29,25,25,False
1,0.2,23,20,20,True
2,0.4,8,7,7,False
3,0.6,42,28,27,True
4,0.8,23,22,21,False
5,1.0,52,39,38,False
1,0.25,30,28,28,True
2,0.5,46,37,37,False
3,0.75,18,16,16,False
4,1.0,26,23,21,True
1,0.25,19,14,14,True
2,0.5,59,46,42,False
3,0.75,15,12,12,True
4,1.0,10,9,9,False
1,0.2,27,24,22,True
2,0.4,57,46,43,False
3,0.6,28,24,23,True
4,0.8,26,22,22,False
6,1.2,16,15,15,False
1,0.3333333333333333,9,5,5,True
2,0.6666666666666666,23,18,18,False
3,1.0,31,26,25,False
1,0.25,167,93,90,True
2,0.5,94,71,66,False
3,0.75,68,38,37,True
4,1.0,36,31,30,False
1,0.3333333333333333,18,18,18,True
2,0.6666666666666666,60,41,36,False
3,1.0,8,8,8,True
1,0.3333333333333333,36,33,33,True
2,0.6666666666666666,96,64,60,False
3,1.0,46,29,24,False
1,0.25,83,64,58,True
2,0.5,30,27,27,False
3,0.75,113,75,68,False
4,1.0,19,16,16,True
1,0.2,29,26,26,True
2,0.4,40,34,33,False
3,0.6,23,22,21,True
4,0.8,6,6,6,True
5,1.0,43,35,33,False
1,0.3333333333333333,27,22,18,True
2,0.6666666666666666,52,44,41,False
3,1.0,13,12,12,False
1,0.3333333333333333,36,27,26,True
2,0.6666666666666666,45,34,33,False
3,1.0,32,25,25,True
1,0.2,9,9,9,True
2,0.4,30,24,24,False
3,0.6,81,67,64,True
4,0.8,100,71,67,False
5,1.0,19,18,18,False
1,0.3333333333333333,47,30,30,True
2,0.6666666666666666,137,82,78,False
3,1.0,29,18,18,False
1,0.25,25,17,17,True
2,0.5,42,33,33,False
3,0.75,10,10,10,False
4,1.0,59,46,43,False
1,0.25,58,44,41,True
2,0.5,276,144,124,False
3,0.75,79,60,57,False
4,1.0,22,20,20,False
1,0.2,7,7,7,True
2,0.4,54,31,27,False
3,0.6,13,13,13,False
4,0.8,5,5,5,True
5,1.0,3,3,3,True
1,0.125,91,59,53,True
2,0.25,24,21,21,False
3,0.375,50,41,41,False
4,0.5,17,15,15,True
5,0.625,167,93,84,True
6,0.75,19,16,16,True
7,0.875,41,35,34,False
8,1.0,12,11,11,True
1,0.3333333333333333,47,32,30,True
2,0.6666666666666666,6,6,6,False
3,1.0,38,30,28,False
1,0.25,20,19,19,True
2,0.5,29,22,22,False
3,0.75,92,73,66,False
4,1.0,38,31,31,False
1,0.2,23,20,20,True
2,0.4,8,8,8,False
3,0.6,21,19,19,True
4,0.8,41,34,34,False
5,1.0,7,7,7,False
1,0.25,51,41,39,True
2,0.5,231,143,133,False
3,0.75,17,16,16,False
4,1.0,26,22,22,False
1,0.25,8,8,8,True
2,0.5,28,27,26,False
3,0.75,45,33,29,False
4,1.0,22,21,21,False
1,0.25,44,34,33,True
2,0.5,38,30,30,False
3,0.75,26,22,22,True
4,1.0,18,17,17,False
1,0.125,152,93,78,True
2,0.25,109,69,64,False
3,0.375,123,80,72,True
4,0.5,36,29,28,False
5,0.625,17,14,14,True
6,0.75,17,16,16,False
7,0.875,4,4,4,False
8,1.0,5,5,5,False
1,0.3333333333333333,107,69,66,True
2,0.6666666666666666,79,58,58,True
3,1.0,12,11,11,False
1,0.2,45,34,32,True
2,0.4,7,6,6,False
3,0.6,29,27,25,False
4,0.8,25,19,18,True
5,1.0,32,26,25,True
1,0.3333333333333333,39,32,30,True
2,0.6666666666666666,75,55,54,False
3,1.0,32,24,23,False
1,0.25,17,16,15,True
2,0.5,55,41,41,False
3,0.75,31,24,24,True
4,1.0,48,39,36,False
1,0.25,22,20,19,True
2,0.5,239,132,123,False
3,0.75,47,40,40,True
4,1.0,37,32,31,False
1,0.3333333333333333,60,49,48,True
2,0.6666666666666666,109,77,75,False
3,1.0,10,9,9,True
1,0.16666666666666666,47,31,30,True
2,0.3333333333333333,16,15,15,False
3,0.5,2,2,2,True
4,0.6666666666666666,26,25,24,False
5,0.8333333333333334,13,12,12,False
6,1.0,37,32,31,False
1,0.125,14,14,14,True
2,0.25,8,8,8,False
3,0.375,10,9,9,True
4,0.5,5,5,5,False
5,0.625,18,16,16,False
6,0.75,13,13,13,True
7,0.875,30,25,25,True
8,1.0,15,12,12,False
1,0.14285714285714285,194,112,102,True
2,0.2857142857142857,34,27,27,False
3,0.42857142857142855,74,56,54,True
4,0.5714285714285714,51,39,37,False
5,0.7142857142857143,55,42,42,True
6,0.8571428571428571,65,50,49,False
7,1.0,194,121,117,True
1,0.2,53,40,40,True
2,0.4,70,52,51,False
3,0.6,96,65,63,True
4,0.8,55,43,40,False
5,1.0,11,11,11,False
1,0.16666666666666666,27,20,20,True
2,0.3333333333333333,107,78,77,False
3,0.5,31,25,24,True
4,0.6666666666666666,52,42,39,False
5,0.8333333333333334,225,132,109,False
6,1.0,51,40,38,False
1,0.25,92,53,51,True
2,0.5,99,64,63,False
3,0.75,51,41,40,True
4,1.0,22,18,17,False
1,0.25,18,15,15,True
2,0.5,26,24,22,False
3,0.75,85,60,56,True
4,1.0,19,18,18,False
1,0.25,15,13,13,True
2,0.5,49,39,38,False
3,0.75,3,3,3,True
4,1.0,38,35,34,False
1,0.25,21,20,20,True
2,0.5,296,141,118,False
3,0.75,416,193,161,False
4,1.0,11,11,11,False
1,0.3333333333333333,85,63,59,True
2,0.6666666666666666,20,19,19,True
3,1.0,48,38,35,False
1,0.2,20,20,20,True
2,0.4,102,73,68,False
3,0.6,11,9,9,False
4,0.8,35,27,26,False
5,1.0,26,23,22,False
1,0.2,143,87,80,True
2,0.4,30,23,23,False
3,0.6,77,50,48,True
4,0.8,22,20,19,False
5,1.0,9,9,9,False
1,0.3333333333333333,10,10,10,True
2,0.6666666666666666,9,8,8,False
3,1.0,64,56,54,False
1,0.25,16,13,13,True
2,0.5,59,49,47,False
3,0.75,7,7,7,True
4,1.0,27,24,24,False
1,0.25,17,17,17,True
2,0.5,135,90,81,False
3,0.75,48,34,34,False
4,1.0,3,1,1,False
1,0.25,22,21,21,True
2,0.5,96,73,69,False
3,0.75,9,7,7,False
4,1.0,5,5,5,False
1,0.2,32,25,25,True
2,0.4,26,21,21,False
3,0.6,9,8,8,True
4,0.8,12,12,12,False
5,1.0,21,20,20,False
1,0.3333333333333333,31,22,20,True
2,0.6666666666666666,96,72,67,False
3,1.0,77,56,55,False
1,0.16666666666666666,88,49,48,True
2,0.3333333333333333,146,79,71,False
3,0.5,23,21,21,True
4,0.6666666666666666,37,25,25,False
5,0.8333333333333334,25,19,18,True
6,1.0,24,22,22,False
1,0.125,56,44,42,True
2,0.25,50,41,39,False
3,0.375,147,79,75,True
4,0.5,32,29,28,False
5,0.625,30,28,28,False
6,0.75,28,23,23,True
7,0.875,20,19,17,False
8,1.0,27,21,20,True
1,0.25,58,42,41,True
2,0.5,78,57,56,False
3,0.75,15,14,14,False
4,1.0,7,3,3,False
1,0.14285714285714285,44,37,37,True
2,0.2857142857142857,33,29,28,False
3,0.42857142857142855,52,40,39,True
4,0.5714285714285714,70,60,56,False
5,0.7142857142857143,141,84,77,False
6,0.8571428571428571,8,8,8,True
7,1.0,6,5,5,True
1,0.3333333333333333,67,44,43,True
2,0.6666666666666666,55,42,38,False
3,1.0,10,10,10,False
1,0.3333333333333333,29,27,27,True
2,0.6666666666666666,43,36,35,False
3,1.0,83,53,51,False
1,0.14285714285714285,32,24,23,True
2,0.2857142857142857,75,46,46,False
3,0.42857142857142855,55,44,44,False
4,0.5714285714285714,23,21,20,False
5,0.7142857142857143,47,32,32,False
6,0.8571428571428571,7,6,6,True
7,1.0,3,3,3,False
1,0.1111111111111111,38,29,28,True
2,0.2222222222222222,9,9,9,True
3,0.3333333333333333,11,10,10,False
4,0.4444444444444444,10,10,10,True
5,0.5555555555555556,37,32,30,False
6,0.6666666666666666,14,14,14,True
7,0.7777777777777778,6,5,5,False
8,0.8888888888888888,11,10,10,True
9,1.0,12,12,12,False
1,0.25,6,6,6,True
2,0.5,48,34,34,False
3,0.75,37,32,31,True
4,1.0,8,7,7,True
1,0.3333333333333333,27,22,21,True
2,0.6666666666666666,13,12,12,True
3,1.0,28,25,25,False
1,0.16666666666666666,67,42,40,True
2,0.3333333333333333,43,34,33,False
3,0.5,12,9,9,True
4,0.6666666666666666,25,23,22,False
5,0.8333333333333334,67,42,40,True
6,1.0,26,24,23,False
1,0.14285714285714285,37,31,29,True
2,0.2857142857142857,56,32,32,False
3,0.42857142857142855,28,23,22,True
4,0.5714285714285714,20,15,15,False
5,0.7142857142857143,32,25,25,False
6,0.8571428571428571,15,14,14,False
7,1.0,18,16,16,False
1,0.25,15,14,14,True
2,0.5,49,38,38,False
3,0.75,19,15,15,True
4,1.0,43,34,34,False
1,0.3333333333333333,10,9,9,True
2,0.6666666666666666,49,38,38,False
3,1.0,38,31,31,False
1,0.3333333333333333,114,80,77,True
2,0.6666666666666666,16,15,15,False
3,1.0,27,24,24,True
1,0.3333333333333333,23,19,18,True
2,0.6666666666666666,86,63,56,False
3,1.0,26,22,22,False
1,0.25,20,16,15,True
2,0.5,111,78,74,False
3,0.75,5,5,5,True
4,1.0,13,10,10,False
1,0.3333333333333333,48,35,33,True
2,0.6666666666666666,10,8,8,True
3,1.0,31,25,24,False
1,0.3333333333333333,46,34,33,True
2,0.6666666666666666,71,52,48,False
3,1.0,26,20,20,False
1,0.3333333333333333,9,9,9,True
2,0.6666666666666666,121,80,77,False
3,1.0,15,13,13,False
1,0.25,12,11,11,True
2,0.5,147,86,84,False
3,0.75,25,24,24,False
4,1.0,3,3,3,False
1,0.3333333333333333,37,28,27,True
2,0.6666666666666666,41,29,25,False
3,1.0,16,13,13,False
1,0.25,87,65,61,True
2,0.5,17,16,16,False
3,0.75,40,29,28,False
4,1.0,67,57,55,False
1,0.2,39,30,30,True
2,0.4,45,38,38,False
3,0.6,15,14,14,True
4,0.8,72,51,45,False
5,1.0,20,18,18,False
1,0.3333333333333333,30,25,24,True
2,0.6666666666666666,11,10,10,False
3,1.0,16,13,13,False
1,0.25,62,43,42,True
2,0.5,98,70,66,False
3,0.75,12,12,12,True
4,1.0,33,26,26,False
1,0.3333333333333333,15,11,11,True
2,0.6666666666666666,62,43,42,False
3,1.0,16,13,13,False
1,0.3333333333333333,13,11,11,True
2,0.6666666666666666,10,9,9,False
3,1.0,30,26,26,False
1,0.14285714285714285,31,26,24,True
2,0.2857142857142857,54,40,36,False
3,0.42857142857142855,15,15,15,False
4,0.5714285714285714,20,18,18,True
5,0.7142857142857143,25,22,21,False
6,0.8571428571428571,19,16,16,True
7,1.0,29,23,23,False
1,0.14285714285714285,40,29,27,True
2,0.2857142857142857,35,31,30,False
3,0.42857142857142855,20,19,19,False
4,0.5714285714285714,22,20,18,False
5,0.7142857142857143,31,26,26,False
6,0.8571428571428571,4,4,4,False
7,1.0,15,14,14,False
1,0.3333333333333333,34,28,27,True
2,0.6666666666666666,94,64,60,False
3,1.0,17,16,16,False
1,0.3333333333333333,93,60,56,True
2,0.6666666666666666,86,55,53,False
3,1.0,9,7,7,True
1,0.16666666666666666,57,43,43,True
2,0.3333333333333333,108,68,65,False
3,0.5,67,43,40,False
4,0.6666666666666666,17,15,14,True
5,0.8333333333333334,21,17,16,False
6,1.0,75,62,60,False
1,0.25,34,20,20,True
2,0.5,26,23,21,False
3,0.75,27,21,21,True
4,1.0,12,11,11,False
1,0.1,112,74,67,True
2,0.2,35,28,28,False
3,0.3,34,23,23,True
4,0.4,80,51,49,False
5,0.5,7,7,7,False
6,0.6,61,38,38,False
7,0.7,13,11,11,True
8,0.8,20,19,17,False
9,0.9,23,22,21,True
10,1.0,38,25,25,False
1,0.125,65,48,47,True
2,0.25,36,29,28,False
3,0.375,29,22,22,True
4,0.5,12,10,10,False
5,0.625,16,14,14,True
6,0.75,22,16,16,False
7,0.875,4,4,4,False
8,1.0,19,17,17,True
1,0.125,48,37,37,True
2,0.25,39,29,28,False
3,0.375,53,45,42,True
4,0.5,133,85,76,False
5,0.625,20,18,18,True
6,0.75,18,17,17,False
7,0.875,13,12,12,False
8,1.0,87,57,50,True
1,0.25,38,34,33,True
2,0.5,20,20,20,False
3,0.75,12,12,12,False
4,1.0,31,26,25,False
1,0.125,32,31,31,True
2,0.25,58,43,39,False
3,0.375,9,9,9,True
4,0.5,36,28,28,False
5,0.625,36,31,30,True
6,0.75,35,24,23,False
7,0.875,50,43,42,True
8,1.0,30,27,27,True
1,0.125,74,55,53,True
2,0.25,80,57,55,False
3,0.375,131,97,93,False
4,0.5,109,75,71,True
5,0.625,48,35,34,True
6,0.75,23,21,21,False
7,0.875,13,13,12,True
8,1.0,11,11,11,False
1,0.3333333333333333,5,5,5,True
2,0.6666666666666666,67,45,43,False
3,1.0,2,2,2,False
1,0.14285714285714285,19,13,13,True
2,0.2857142857142857,70,42,41,False
3,0.42857142857142855,30,22,21,True
4,0.5714285714285714,26,22,22,False
5,0.7142857142857143,56,41,37,False
6,0.8571428571428571,19,14,14,True
7,1.0,138,88,80,False
1,0.3333333333333333,41,31,29,True
3,1.0,105,65,60,False
4,1.3333333333333333,15,15,14,False
1,0.2,23,22,22,True
2,0.4,33,28,28,False
3,0.6,17,16,16,True
4,0.8,39,34,33,False
5,1.0,4,4,4,False
1,0.3333333333333333,21,18,18,True
2,0.6666666666666666,53,43,42,False
3,1.0,6,5,5,False
1,0.2,21,18,18,True
2,0.4,80,60,54,False
3,0.6,63,49,41,False
4,0.8,23,20,20,True
5,1.0,28,23,22,False
1,0.25,71,51,49,True
2,0.5,102,71,66,False
3,0.75,44,38,37,True
4,1.0,66,49,48,False
1,0.16666666666666666,31,23,23,True
2,0.3333333333333333,33,29,28,False
3,0.5,40,32,32,True
4,0.6666666666666666,60,47,40,False
5,0.8333333333333334,6,6,6,True
6,1.0,5,5,5,False
1,0.25,96,70,68,True
2,0.5,67,52,50,False
3,0.75,18,17,17,True
4,1.0,46,39,38,False
1,0.16666666666666666,16,14,14,True
2,0.3333333333333333,40,28,28,False
3,0.5,49,42,41,True
4,0.6666666666666666,37,30,29,False
5,0.8333333333333334,92,68,63,False
6,1.0,20,17,16,False
1,0.25,11,11,11,True
2,0.5,49,38,36,False
3,0.75,16,16,15,True
4,1.0,34,29,29,False
1,0.14285714285714285,31,20,20,True
2,0.2857142857142857,27,21,20,False
3,0.42857142857142855,20,18,18,True
4,0.5714285714285714,41,24,22,False
5,0.7142857142857143,40,28,28,False
6,0.8571428571428571,6,5,5,True
7,1.0,3,3,3,False
1,0.16666666666666666,36,25,24,True
2,0.3333333333333333,33,29,28,False
3,0.5,10,9,9,True
4,0.6666666666666666,42,37,37,False
5,0.8333333333333334,38,31,30,True
6,1.0,34,30,30,False
1,0.3333333333333333,53,39,37,True
2,0.6666666666666666,101,65,58,False
3,1.0,17,16,16,False
1,0.3333333333333333,104,68,63,True
2,0.6666666666666666,71,54,53,False
3,1.0,26,21,21,False
1,0.14285714285714285,44,36,36,True
2,0.2857142857142857,11,11,11,False
3,0.42857142857142855,93,70,67,False
4,0.5714285714285714,22,19,19,True
5,0.7142857142857143,48,41,40,True
6,0.8571428571428571,19,17,17,True
7,1.0,32,28,28,False
1,0.25,23,21,21,True
2,0.5,72,48,45,False
3,0.75,4,4,4,True
4,1.0,22,19,18,False
1,0.3333333333333333,210,128,117,True
2,0.6666666666666666,56,44,43,False
3,1.0,15,15,15,False
1,0.25,14,13,13,True
2,0.5,32,27,25,False
3,0.75,45,32,30,True
4,1.0,18,16,16,False
1,0.25,83,59,56,True
2,0.5,20,19,18,False
3,0.75,8,8,8,False
4,1.0,30,24,24,False
1,0.1111111111111111,35,31,29,True
2,0.2222222222222222,43,36,35,False
3,0.3333333333333333,49,36,33,True
4,0.4444444444444444,24,20,19,False
5,0.5555555555555556,309,102,97,True
6,0.6666666666666666,30,22,21,False
7,0.7777777777777778,45,34,34,False
8,0.8888888888888888,44,33,32,False
9,1.0,35,29,29,False
1,0.1111111111111111,148,95,90,True
2,0.2222222222222222,62,47,46,False
3,0.3333333333333333,21,17,17,True
4,0.4444444444444444,66,51,49,False
5,0.5555555555555556,357,186,165,True
6,0.6666666666666666,42,32,31,False
7,0.7777777777777778,57,44,41,True
8,0.8888888888888888,30,25,25,True
9,1.0,23,20,20,False
1,0.25,18,18,17,True
2,0.5,17,15,14,False
3,0.75,51,38,34,False
4,1.0,9,9,9,False
1,0.25,182,111,104,True
2,0.5,185,109,94,False
3,0.75,53,36,33,False
4,1.0,38,30,28,False
1,0.25,33,27,27,True
2,0.5,218,120,106,False
3,0.75,22,15,15,True
4,1.0,24,21,20,False
1,0.25,9,7,7,True
2,0.5,23,21,21,False
3,0.75,2,2,2,True
4,1.0,28,22,21,False
1,0.25,16,16,16,True
2,0.5,34,29,29,False
3,0.75,17,17,17,True
4,1.0,56,46,46,False
1,0.3333333333333333,63,46,44,True
2,0.6666666666666666,25,22,22,False
3,1.0,22,19,19,True
1,0.3333333333333333,30,25,23,True
2,0.6666666666666666,13,11,10,False
3,1.0,35,19,19,True
1,0.2,9,9,9,True
2,0.4,8,8,8,True
3,0.6,34,28,28,False
4,0.8,2,2,2,True
5,1.0,31,23,23,False
1,0.1111111111111111,40,23,22,True
2,0.2222222222222222,11,11,11,False
3,0.3333333333333333,35,24,24,True
4,0.4444444444444444,20,18,17,False
5,0.5555555555555556,40,33,33,True
6,0.6666666666666666,239,92,88,False
7,0.7777777777777778,41,30,30,True
8,0.8888888888888888,17,16,16,True
9,1.0,23,20,20,False
1,0.14285714285714285,58,42,42,True
2,0.2857142857142857,10,10,10,False
3,0.42857142857142855,37,32,31,True
4,0.5714285714285714,33,30,30,False
5,0.7142857142857143,23,19,19,False
6,0.8571428571428571,3,3,3,False
7,1.0,68,54,53,False
1,0.2,25,20,20,True
2,0.4,44,39,37,False
3,0.6,34,28,28,False
4,0.8,11,10,10,False
5,1.0,40,31,30,True
1,0.2,119,89,84,True
2,0.4,305,183,158,False
3,0.6,210,136,129,True
4,0.8,41,31,30,True
5,1.0,68,54,53,False
1,0.3333333333333333,38,30,29,True
2,0.6666666666666666,80,55,50,False
3,1.0,23,20,19,False
1,0.2,91,46,43,True
2,0.4,16,16,16,False
3,0.6,74,57,52,False
4,0.8,5,4,4,True
5,1.0,7,7,7,False
1,0.14285714285714285,96,65,61,True
2,0.2857142857142857,77,48,48,False
3,0.42857142857142855,29,24,23,True
4,0.5714285714285714,36,28,26,True
5,0.7142857142857143,11,10,10,False
6,0.8571428571428571,8,8,8,True
7,1.0,104,63,62,True
1,0.3333333333333333,53,37,36,True
2,0.6666666666666666,35,29,28,False
3,1.0,11,10,10,False
1,0.25,12,11,11,True
2,0.5,64,52,49,False
3,0.75,8,8,8,False
4,1.0,10,10,10,False
1,0.2,77,38,36,True
2,0.4,91,57,55,True
3,0.6,46,30,28,False
4,0.8,26,22,22,True
5,1.0,10,8,8,True
1,0.2,29,28,28,True
2,0.4,41,35,33,False
3,0.6,30,26,23,False
4,0.8,7,7,7,False
5,1.0,16,13,13,False
1,0.2,35,29,28,True
2,0.4,18,16,16,False
3,0.6,16,15,15,False
4,0.8,18,16,16,False
5,1.0,18,16,16,False
1,0.2,6,6,6,True
2,0.4,20,17,17,False
3,0.6,108,65,61,False
4,0.8,18,16,16,False
5,1.0,12,12,12,False
1,0.25,68,49,48,True
2,0.5,35,32,32,False
3,0.75,12,12,12,True
4,1.0,80,56,50,False
1,0.25,30,28,27,True
2,0.5,80,60,53,False
3,0.75,10,9,9,True
4,1.0,28,23,23,False
1,0.16666666666666666,52,41,38,True
2,0.3333333333333333,15,12,12,False
3,0.5,33,25,24,True
4,0.6666666666666666,46,40,40,False
5,0.8333333333333334,52,48,48,False
6,1.0,75,59,55,True
1,0.25,35,32,30,True
2,0.5,21,17,17,False
3,0.75,32,30,30,True
4,1.0,25,22,21,False
1,0.16666666666666666,60,47,45,True
2,0.3333333333333333,95,71,68,False
3,0.5,104,67,65,True
4,0.6666666666666666,43,37,37,False
5,0.8333333333333334,17,16,16,False
6,1.0,40,33,32,False
1,0.2,69,48,41,True
2,0.4,97,57,54,False
3,0.6,21,19,19,True
4,0.8,22,17,17,True
5,1.0,50,41,41,False
1,0.3333333333333333,23,18,18,True
2,0.6666666666666666,29,25,24,False
3,1.0,18,17,17,True
1,0.25,12,11,11,True
2,0.5,35,26,25,False
3,0.75,9,8,8,False
4,1.0,63,46,45,False
1,0.3333333333333333,28,25,25,True
2,0.6666666666666666,9,9,9,True
3,1.0,39,31,31,False
1,0.3333333333333333,31,23,23,True
2,0.6666666666666666,49,39,37,False
3,1.0,3,3,3,False
1,0.16666666666666666,11,11,11,True
2,0.3333333333333333,41,29,29,False
3,0.5,32,27,26,False
4,0.6666666666666666,80,52,48,False
5,0.8333333333333334,7,7,7,False
6,1.0,22,19,19,False
1,0.14285714285714285,45,35,34,True
2,0.2857142857142857,27,22,22,False
3,0.42857142857142855,2,2,2,True
4,0.5714285714285714,23,17,17,False
5,0.7142857142857143,29,21,21,False
6,0.8571428571428571,39,27,25,False
7,1.0,20,19,19,False
1,0.3333333333333333,26,26,24,True
2,0.6666666666666666,199,107,95,False
3,1.0,50,42,42,False
1,0.3333333333333333,53,38,38,True
2,0.6666666666666666,119,89,86,True
3,1.0,51,41,41,False
1,0.3333333333333333,11,10,10,True
2,0.6666666666666666,25,20,20,False
3,1.0,25,20,20,True
1,0.2,43,32,30,True
2,0.4,20,17,17,False
3,0.6,15,13,13,True
4,0.8,52,37,36,False
5,1.0,21,20,20,True
1,0.3333333333333333,122,86,80,True
2,0.6666666666666666,55,40,39,False
3,1.0,36,31,30,True
1,0.25,10,8,8,True
2,0.5,33,25,25,False
3,0.75,9,9,9,True
4,1.0,28,23,23,False
1,0.25,33,27,27,True
2,0.5,16,14,14,False
3,0.75,5,5,5,True
4,1.0,11,8,8,False
1,0.3333333333333333,35,28,27,True
2,0.6666666666666666,46,39,38,False
3,1.0,15,15,15,False
1,0.3333333333333333,87,63,55,True
2,0.6666666666666666,58,46,43,False
3,1.0,24,20,20,False
1,0.25,63,43,42,True
2,0.5,26,21,21,False
3,0.75,5,5,4,True
4,1.0,35,29,29,False
1,0.25,64,44,42,True
2,0.5,13,12,12,True
3,0.75,54,43,41,False
4,1.0,54,45,43,False
1,0.16666666666666666,99,66,62,True
2,0.3333333333333333,53,41,37,False
3,0.5,7,7,7,True
4,0.6666666666666666,35,26,25,False
5,0.8333333333333334,15,13,12,True
6,1.0,11,11,11,False
1,0.2,34,29,29,True
2,0.4,38,34,34,False
3,0.6,14,14,14,False
4,0.8,27,21,21,True
5,1.0,3,3,3,False
1,0.25,36,27,26,True
2,0.5,61,38,38,False
3,0.75,8,7,7,True
4,1.0,73,54,54,False
1,0.125,119,76,67,True
2,0.25,37,29,26,False
3,0.375,84,62,61,False
4,0.5,18,14,14,False
5,0.625,22,21,20,False
6,0.75,26,24,23,False
7,0.875,51,35,35,False
8,1.0,6,5,5,False
1,0.25,63,44,42,True
2,0.5,36,31,31,False
3,0.75,41,33,33,False
4,1.0,31,27,27,False
1,0.16666666666666666,47,30,30,True
2,0.3333333333333333,35,32,32,False
3,0.5,53,45,45,False
4,0.6666666666666666,26,23,21,True
5,0.8333333333333334,55,45,45,False
6,1.0,77,48,45,True
1,0.3333333333333333,31,26,26,True
2,0.6666666666666666,82,52,52,False
3,1.0,17,16,16,False
1,0.3333333333333333,40,31,30,True
2,0.6666666666666666,6,5,5,True
3,1.0,67,53,51,False
1,0.3333333333333333,25,24,24,True
2,0.6666666666666666,61,49,47,False
3,1.0,21,18,18,False
1,0.25,15,14,14,True
2,0.5,34,26,25,False
4,1.0,27,23,23,False
5,1.25,136,105,93,False
1,0.14285714285714285,71,53,49,True
2,0.2857142857142857,102,64,61,False
3,0.42857142857142855,34,29,29,True
4,0.5714285714285714,60,48,46,True
5,0.7142857142857143,59,42,38,False
6,0.8571428571428571,127,79,75,False
7,1.0,4,4,4,False
1,0.125,91,65,60,True
2,0.25,47,37,35,False
3,0.375,16,14,14,False
4,0.5,53,43,40,True
5,0.625,66,52,50,True
6,0.75,42,32,31,False
7,0.875,44,34,33,True
8,1.0,15,15,15,False
1,0.16666666666666666,36,29,28,True
2,0.3333333333333333,88,60,58,False
3,0.5,23,20,20,True
4,0.6666666666666666,67,49,47,False
5,0.8333333333333334,70,46,44,True
6,1.0,23,19,19,False
1,0.25,26,18,17,True
2,0.5,33,24,24,False
3,0.75,34,26,26,True
4,1.0,16,13,13,False
1,0.16666666666666666,36,26,26,True
2,0.3333333333333333,12,11,11,False
3,0.5,29,23,22,True
4,0.6666666666666666,5,5,5,False
5,0.8333333333333334,6,6,6,False
6,1.0,83,55,53,False
1,0.3333333333333333,16,12,12,True
2,0.6666666666666666,58,45,44,False
3,1.0,54,40,37,False
1,0.3333333333333333,24,19,19,True
2,0.6666666666666666,10,10,10,False
3,1.0,59,44,43,False
1,0.25,18,17,17,True
2,0.5,8,7,7,False
3,0.75,3,3,3,True
4,1.0,13,13,13,False
1,0.3333333333333333,66,48,45,True
2,0.6666666666666666,52,43,42,False
3,1.0,6,6,6,True
1,0.3333333333333333,48,41,39,True
2,0.6666666666666666,58,48,47,False
3,1.0,36,27,27,False
1,0.16666666666666666,75,45,44,True
2,0.3333333333333333,75,54,54,False
3,0.5,42,30,30,True
4,0.6666666666666666,9,9,9,False
5,0.8333333333333334,3,3,3,True
6,1.0,18,18,18,False
1,0.2,31,24,24,True
2,0.4,97,60,59,False
3,0.6,15,14,14,False
4,0.8,17,15,14,False
5,1.0,14,13,13,False
1,0.25,7,7,7,True
2,0.5,8,8,8,False
3,0.75,6,6,6,False
4,1.0,5,5,5,False
1,0.3333333333333333,14,13,13,True
2,0.6666666666666666,27,23,23,False
3,1.0,36,27,27,False
1,0.25,75,55,52,True
2,0.5,98,70,68,False
3,0.75,59,45,43,True
4,1.0,61,49,49,False
1,0.3333333333333333,73,55,52,True
2,0.6666666666666666,25,21,20,False
3,1.0,24,20,20,True
1,0.16666666666666666,8,8,8,True
2,0.3333333333333333,76,56,54,False
3,0.5,24,18,17,False
4,0.6666666666666666,29,25,23,True
5,0.8333333333333334,61,45,42,False
6,1.0,15,13,13,False
1,0.25,17,15,15,True
2,0.5,41,32,31,False
3,0.75,14,13,13,True
4,1.0,21,19,19,False
1,0.25,6,6,6,True
2,0.5,36,29,29,False
3,0.75,7,7,7,True
4,1.0,55,38,36,False
1,0.1,36,33,32,True
2,0.2,74,56,53,False
3,0.3,72,41,39,True
4,0.4,126,87,80,False
5,0.5,33,26,25,True
6,0.6,47,38,38,False
7,0.7,60,47,45,True
8,0.8,8,8,7,False
9,0.9,24,19,18,True
10,1.0,10,10,10,True
1,0.25,22,20,19,True
2,0.5,30,24,24,False
3,0.75,24,19,18,True
4,1.0,16,12,11,False
1,0.25,45,32,30,True
2,0.5,10,10,10,False
